word	valence	arousal	dominance
deformed	2.41	4.07	3.95
defy	5.40	5.63	6.00
delayed	3.07	5.62	3.64
delight	7.48	6.68	5.68
delude	4.71	4.10	5.20
demand	3.76	5.75	4.86
democracy	6.55	5.39	6.04
demon	2.11	6.76	4.89
den	5.72	3.50	6.17
denial	3.28	6.03	4.06
denote	4.63	4.40	4.83
dent	2.93	5.69	4.03
dentist	4.02	5.73	3.80
deny	3.79	4.86	4.36
depart	3.63	4.37	3.63
depressed	1.83	4.72	2.74
depression	1.85	4.54	2.91
derelict	4.28	4.10	4.78
descent	5.00	4.58	4.83
desert	4.96	4.82	5.00
deserter	2.45	5.50	3.77
desire	7.69	7.35	6.49
desk	4.66	4.03	5.55
despairing	2.43	5.68	3.43
despise	2.03	6.28	4.72
destroy	2.64	6.83	4.94
destruction	3.16	5.82	3.93
detach	3.19	4.19	3.93
detached	3.86	4.26	3.63
detail	5.55	4.10	5.21
detain	3.03	5.52	3.58
detest	2.17	6.06	5.83
devil	2.21	6.07	5.35
devote	6.32	5.37	6.19
devoted	7.41	5.23	6.18
devour	5.62	5.39	5.00
dew	5.59	3.64	5.10
diamond	7.92	5.53	5.54
diary	5.73	3.69	6.38
dice	5.72	4.96	4.64
die	2.48	6.38	2.55
difficult	2.93	5.96	4.19
dignified	7.10	4.12	6.12
dinner	7.16	5.43	6.10
diploma	8.00	5.67	6.76
dirt	4.17	3.76	4.83
dirty	3.08	4.88	4.70
disability	2.52	4.46	2.43
disappoint	2.39	4.92	3.29
disappointed	2.21	4.82	3.11
disappointment	2.37	4.60	3.20
disaster	1.73	6.33	3.52
discomfort	2.19	4.17	3.86
discount	7.48	6.10	5.94
discouraged	3.00	4.53	3.61
disdainful	3.68	5.04	4.55
disease	2.03	5.32	2.71
disgusted	2.45	5.42	4.34
disgusting	2.96	5.18	3.64
dishes	3.62	4.06	4.84
disk	5.25	3.86	5.64
disloyal	1.93	6.56	3.79
disorder	2.72	5.42	2.71
displeased	2.79	5.64	4.19
distracted	4.48	4.56	4.07
distress	2.67	5.70	3.03
distressed	1.94	6.40	3.76
disturb	3.66	5.80	4.55
diver	6.45	5.04	5.04
divert	4.44	5.22	4.89
divorce	2.22	6.33	3.26
doctor	5.20	5.86	4.89
dog	7.57	5.76	6.25
doll	6.09	4.24	4.61
dollar	7.47	6.07	6.33
donate	6.89	4.48	6.70
donkey	5.54	4.22	5.67
donor	6.43	5.11	6.07
door	5.13	3.80	4.69
doubt	3.43	4.50	3.64
doubtful	3.41	4.28	3.76
dough	6.09	4.59	5.69
dove	6.90	3.79	5.48
dragon	5.43	5.50	4.39
drama	3.86	6.39	5.32
dreadful	2.26	5.84	4.10
dream	6.73	4.53	5.53
dreams	7.14	6.48	5.38
dreary	3.05	2.98	3.81
dress	6.41	4.05	5.00
drill	4.40	5.40	4.80
driver	6.13	4.87	6.35
droop	3.21	3.39	3.96
drown	2.20	6.84	2.68
drugs	3.76	6.00	4.75
drunk	6.17	6.11	4.54
dryer	5.03	3.79	5.50
